Name,User_Score,Critic_Score,Normalized_User_Score,Normalized_Critic_Score
Gears of War: Ultimate Edition,7.5,82.0,0.7692307692307693,0.8117647058823529
True Crime: Streets of LA,8.0,77.0,0.8241758241758242,0.7529411764705882
Professor Layton and the Unwound Future,9.2,86.0,0.956043956043956,0.8588235294117647
FIFA 16,4.4,84.0,0.4285714285714286,0.8352941176470589
Wii Music,4.6,63.0,0.4505494505494505,0.5882352941176471
Madden NFL 16,5.9,83.0,0.5934065934065935,0.8235294117647058
Gran Turismo 6,7.7,81.0,0.7912087912087913,0.8
Halo: The Master Chief Collection,7.2,85.0,0.7362637362637363,0.8470588235294118
Super Mario Maker,8.7,88.0,0.901098901098901,0.8823529411764706
God of War: Chains of Olympus,8.6,91.0,0.8901098901098901,0.9176470588235294
Enter the Matrix,8.1,62.0,0.8351648351648352,0.5764705882352941
Crisis Core: Final Fantasy VII,8.0,83.0,0.8241758241758242,0.8235294117647058
Dance Central,7.6,82.0,0.7802197802197802,0.8117647058823529
L.A. Noire,7.7,89.0,0.7912087912087913,0.8941176470588236
Ace Combat 04: Shattered Skies,9.1,89.0,0.945054945054945,0.8941176470588236
Animal Crossing,8.9,87.0,0.9230769230769231,0.8705882352941177
FIFA Soccer 08,6.5,83.0,0.6593406593406593,0.8235294117647058
Spider-Man,9.0,87.0,0.9340659340659341,0.8705882352941177
Mario Party 9,6.8,73.0,0.6923076923076923,0.7058823529411765
Sonic Rush,8.5,82.0,0.8791208791208791,0.8117647058823529
Rhythm Heaven,9.0,83.0,0.9340659340659341,0.8235294117647058
Fallout: New Vegas,7.8,82.0,0.8021978021978022,0.8117647058823529
Personal Trainer: Cooking,7.8,81.0,0.8021978021978022,0.8
The Elder Scrolls IV: Oblivion,8.0,93.0,0.8241758241758242,0.9411764705882353
The Legend of Zelda: A Link Between Worlds,8.9,91.0,0.9230769230769231,0.9176470588235294
Resident Evil 6,5.4,74.0,0.5384615384615385,0.7176470588235294
Mass Effect 2,8.9,96.0,0.9230769230769231,0.9764705882352941
Dragon Ball Z: Budokai,7.9,67.0,0.8131868131868133,0.6352941176470588
Madden NFL 2002,7.9,94.0,0.8131868131868133,0.9529411764705882
The Sims: Vacation,7.8,75.0,0.8021978021978022,0.7294117647058823
LEGO Batman: The Videogame,7.9,74.0,0.8131868131868133,0.7176470588235294
Animal Crossing: Happy Home Designer,6.9,66.0,0.7032967032967034,0.6235294117647059
The Sims 4,3.9,70.0,0.37362637362637363,0.6705882352941176
Borderlands 2,8.2,89.0,0.8461538461538461,0.8941176470588236
LEGO Batman: The Videogame,8.0,72.0,0.8241758241758242,0.6941176470588235
Kung Fu Panda,7.4,75.0,0.7582417582417583,0.7294117647058823
Mass Effect 3,5.8,93.0,0.5824175824175825,0.9411764705882353
Heavy Rain,7.7,87.0,0.7912087912087913,0.8705882352941177
Saints Row 2,8.1,81.0,0.8351648351648352,0.8
